date,volume,number,sentences,count,id,likely_pos,code
2/3/00,1,1,"scab goods are made in penitentiaries, opium-steached factories, tenement pesthouses and sweatshops ; they are made by criminals, coolies, unschooled children and poorly paid workmen, under degrading and onerous conditions.",30,s83,TRUE,1
6/27/03,4,22,f. of l. until a charter is granted to the japanese branch of the union.,15,s1334,TRUE,1
10/7/39,40,40,"of course, there j is no way to count the number who came in illegally.adult public forums start fall termthe fall term of adult public forums in the san francisco public schools was completed september 25 by robert f.",40,s9053,TRUE,0
4/29/05,6,14,"it is, indeed, very certain that, if we continue for much longer to be inactive and indifferent to this new danger of japanese immigration, we shall be open to the charge that other nations have a keener recognition of american needs and perils than we have ourselves.",47,s1828,TRUE,1
4/29/05,6,14,"the problem of undesirable immigration in general is one that has hitherto presented itself more particularly to the eastern states, as the asiatic question has more specially presented itself to the western.",32,s1811,TRUE,1
3/24/23,24,12,"“the abuses by reason of the shortage of coal, inadequate transportation, high prices and fireless coal have so aroused the consuming public that the alternative is strict control and regulation of the industry,” he said.",35,s6202,TRUE,0
4/29/05,6,14,we have said that the question of asiatic 'immigration presents itself with special force to the western states.,18,s1824,TRUE,1
6/27/03,4,22,several restaurants in sacramento have been placed on the unfair list by the trades council because they did not live up to their agreement to substitute white for chinese help on june 1.,33,s1336,TRUE,1
4/29/05,6,14,the japanese is too patriotic to needlessly employ foreigners at the expense of his own people but there are some ' americans whu would employ devils if they would accept_a cent an hour less féan angels.,35,s1864,TRUE,1
5/9/36,37,19,"if improvements in our economic and social life are not to be desired, then the agitator is an undesirable.",19,s8723,TRUE,0
7/12/30,31,28,"filipinos, the banker says, are “more reliable,” and that he is impelled by lofty ideals in importing these ear-easterners who arc “students.”",23,s7864,TRUE,0
1/17/31,32,3,"other senators referred to money that has been voted to buy food for russian, chinese and other distressed people.",19,s7909,TRUE,0
4/29/05,6,14,"they must certainly have reported a land flowing with milk and honey and dollars, for by the year 1900 there were 10,151 japanese in california.",26,s1741,TRUE,1
4/29/05,6,14,what would they speedily become if wo inflicted upon the japanese one-hun-dredth part of what they have inflicted upon us?,22,s1852,TRUE,0
10/14/11,12,41,"those numerous varieties of the genus vagrant —the “hobo,” the “moodier,” the “jocker,” the “mush-faker”—are by no means criminals.",21,s2982,TRUE,0
10/16/43,44,42,"here the successful fight, inaugurated in 1934 by chinese generalissimo chiang-kai-shek and his wife, has shown admirable results.prices of used cars to be cut one-halfthe office of price administration has promised to roll back prices of used motor cars to half of their present level.",49,s10014,TRUE,0
