"date","volume","number","sentences","id","code"
"1900 03 03",52,11,"sulphite and paper mill workers john donovan los angeles central labor council and john f","s10476",0
"1900 03 03",84,1,"well now the fight is on and not only will jessie jackson bring some ex citement to the primary process he has the ability to register and bring to the polls regardless who the candidate is millions of new voters","s12404",0
"1900 03 03",28,51,"the injunction is used to make the union illegal and to outlaw its activity by judicial decree to penalize through equity procedure acts and agencies that are legal according to law as enacted by our law making bodies","s6791",0
"1900 05 05",33,34,"hearings in accordance with the provisions of the act authorizing its establishment the commission has conducted public hearings in various sections of the state to give opportunity to all persons interested to present their views as to what action the state should take to meet the problems of unemployment","s8440",0
"1900 05 05",11,47,"anderson of santa cruz cal requesting material for debate upon the asiatic exclusion question granted","s2587",0
"1900 05 05",11,47,"from home industry league stating that a large quantity of chinese cement is being brought into california referred to secretary","s2589",0
"1900 05 05",33,34,"a national opportunity to improve living conditions and to ameliorate the plight of cities which built up haphazardly during an era of rugged individualism will be missed if action is not taken before the coming winter mr","s8474",0
"1900 05 05",33,34,"it was further provided that work will be given to bona fide residents of wisconsin and emergency work will be staggered so as to provide jobs for as large a number as possible","s8486",0
"1900 05 05",18,3,"we found that there is a general system in vogue in the check room privileges of hotels and restaurants and some of the persons holding these privileges operate in the larger cities throughout the united states","s4328",0
"1900 05 05",18,3,"the number of other ofllces to be opened depends however upon the amount of money approp dated for this purpose and any ac the legislature may take towards he elimination of the private agencie","s4356",0
"1900 05 05",21,4,"what to do carpenters not receiving their check should immediately write to the fund office supplying their new address","s11974",0
"1900 05 05",21,30,"but and this question may well be put to the learning of new england to the thought of the south will we add unto our strength by introducing into our country a people alien to our laws our religion our traditions our ideals our national conceptions a people with no inclination no capacity foi self government","s4967",1
"1900 05 05",9,23,"customary reports will be tabled and only the cardinal and salient points replete with roseate pleasure will be presented","s2009",0
"1900 05 05",25,34,"one afternoon as she was running down the brush bordered lane which was the last of her route the child saw what appeared to be a very strange animal with downbent head and terrifying horns","s5787",0
"1900 05 05",69,16,"reliance on the states to improve standards is a throwback to the eisenhower administration observes james o brien an unemployment insurance specialist in the afl cio dept of social security","s11477",0
"1900 05 05",25,52,"it is charged that the reactionary element in that island resorted to coercion and other illegal means to rob the workers of their well earned election victory","s6470",0
"1900 05 05",4,22,"the doctor can use a word a yard long without knowing what it means but if the editor uses it he has to spell it","s973",0
"1900 05 05",1,39,"report was made that everything was in readiness for the first annual ball of the union which will take place to night october 27th at odd fellows hall","s343",0
"1900 05 05",3,22,"french the energetic business agent of bridge structural iron workers no 31 visited palo alto in the interests of his craft last thursday","s643",0
"1900 05 05",27,22,"labor saving machinery may be installed but employees are denied any share in this increased efficiency while rigid living standards are based on government statistics","s6003",0
"1900 05 05",67,11,"arbitration board chairman andrew fawver jack kessler dan sweeney william mulkeen pres compliments of western pipe engineering co inc","s11483",0
"1900 05 05",30,41,"heaven help the sailors on a night like this will take on a new meaning punch","s7690",0
"1900 05 12",22,6,"we lost brother john aleximas to the grim reaper this past month in the state of florida where he has been retired for the past 12 years","s12193",0
"1900 05 12",11,47,"the board of the asiatic exclusion league met at its headquarters 815 metropolis bank building and in the absence of the president and vice president was called to order by delegate knight at 8 p in saturday","s2590",0
"1900 05 12",27,49,"migration and immigration numbers of native agricultural workers are said to have decreased progressively in the past decade due to a general movement on the part of these classes toward cities and towns to engage in better paid industrial occupations","s7299",0
"1900 05 12",29,9,"these men are telling our senators and representatives in washington that there is a scarcity of labor here and that the mexicans are needed to do the necessary work in san francisco and california","s6824",1
"1900 05 12",21,30,"we want no antagonistic races we want no hostile classes we want no castes we want no serfs we want no beasts of burden we want no anarchists we want no aliens incapable of republican government we want no pagans burning incense to confucius","s4992",1
"1900 05 12",21,30,"but you men of the south do you welcome or will you permit the invasion","s4977",1
"1900 05 12",30,47,"secretary mellon in announcing his plan said it would be economy for the government to push the work to completion","s7780",0
"1900 05 12",1,14,"as an example we have seen the organizedeffort of the cloak and suit manufacturers to disrupt the cloakmakers union in order that they might hire japanese labor","s16",1
"1900 05 12",30,47,"if the house carpenters succeed in establishing among themselves the eight hour system and i hope and believe they will it will be but a few weeks until eight hours will be as regularly a day s work as ten hours have been heretofore","s7826",0
"1900 05 12",1,14,"for some time past the numbers of japanese entering this city and state have shown a rapidly increasing ratio to other immigrants until they have now become an actual factor of competition in every pursuit manual labor mechanics arts and sciences","s27",1
"1900 05 12",72,9,"affiliates wishing to order the film should specify both a preferred showing date and an alternative date and agree to return the film to the federation s san francisco office within 24 hours after showing it","s11731",0
"1900 05 12",1,14,"to do this sufficient pressure must be brought to bear on congress to force the enactment of such exclusion laws as will exclude","s08",1
"1900 05 12",9,23,"there the finger was placed squarely upon the point of the whole problem of centralization and states rights","s2037",0
"1900 05 12",1,14,"the working people realize their situation today as they have never done before and they are not only ready to relegate to the political backyard any lawmaker who neglects his duty or is found to oppose any legislation which the people and the best interests of the country demand but labor is also ready to start a vigorous crusade against mongolian made goods and all employers of asiatic labor","s10",1
"1900 05 12",40,25,"also with certain modifications the treatment may be used effectively on slender people don t ignore the women s vote says mrs","s9149",0
"1900 05 12",1,14,"the san francisco labor council and the building trades council have entered in full earnest to combat the asiatic curse recognizing that unless the gates of our country are closed against the invading hordes of chinese and japanese the pacific coast states will in less than one generation be flooded by asiatics and enslaved by farm and factory lords","s11",1
"1900 05 12",74,9,"in addition it extends federal wage and overtime requirementswage controls endmoscone bill bars illegal evidence in u l","s11794",0
"1900 05 12",74,9,"senator moscone noted that since a november 1968 decision president benefit decision number 57 by the state unemployment appeals board illegally seized evidence has been admissable in all stages of unemployment appeal hearings","s11796",0
"1900 05 12",74,9,"while normal rules of criminal procedure do not apply in unemployment hearings moscone said we ought to outlaw the use of illegally seized evidénce in any governmental proceedings","s11797",0
"1900 05 12",25,21,"given this opportunity the law abiding citizens of san jose by r hfg reuijority vote repudiated the illegal socalled american plan and cast their ballots for the labor candidate who stands for real americanism","s5746",1
"1900 05 12",7,2,"now it is extending around its borders property across the street is undesirable for whites and the mongols take it","s2032",1
"1900 05 12",85,15,"roots general president operative plasterers and cement masons international association of the united states and canada 7th vice president of the bctda native of berkeley california melvin h","s12514",0
"1900 05 12",16,36,"advance in labor conditions must proceed with a fair degree of uniformity throughout any line of industry","s3996",0
"1900 05 12",21,46,"men and women with youth health and good jobs go blithely on living up to every cent they earn making no provision for the future and saying confidently for me the rainy day will never come","s5749",0
"1900 05 12",3,33,"any toiler who possessed of the knowledge that he can be partially the means by which the union cigarmaker and his family may have a comfortable living a pleasant home and a little of life s happiness deliberately smokes a chinese or eastern scab cigar is guilty of the grossest heartlessness and cruelty and through his selfish indifference to the welfare of his brother toiler is unworthy of the respect or consideration of his fellow men i is an ulcer on labor s cause and a scab at heart","s804",1
"1900 05 12",11,2,"no fair idea of france can be gleaned from the champs elysee the rue de la paix and the boulevards des italiens any more than could be gathered about america or new york by looking only at broadway and fifth avenue","s2444",0
"1900 05 12",7,2,"he is the son of white laborer who was guttered s the unequal contest bis sons miss their schooling and at working ts bad to compete wjth chinese la a the competition was impos a","s2037",1
"1900 05 12",1,5,"the success of the cloakmakers union in this fight means sanitary workshops white labor and fair conditions its defeat sweat shops with their attendant horrors and mongolian labor in the cloakmaking trade","s54",1
"1900 05 12",15,7,"we your committee believe that to enforce the request literally would result in serious complications we therefore recommend that same be referred to the executive officers of the state b","s3333",0
"1900 05 12",5,16,"seven eights of the union mechanics in the building crafts in sacramento are now at work under closed shop conditions","s1401",0
"1900 05 12",5,16,"furniture handler s union no 1 meets second and fourth mondays of each month friendship hall 927 mission st","s1473",0
"1900 05 12",66,15,"anyone able to help in this respect please donate at the peninsular hospital in millbrae","s11161",0
"1900 05 12",5,38,"the better opinion is that the common law did not include labor organizations among combinations m restraint of trade which were illegal because during the reign of edward vi and george 111 statutes were enacted which subjected workmen conspiring either treduce the time < t labor or to their wages to punishment and imprisonment","s1337",0
