"date","volume","number","sentences","count","id","likely_pos","sample_type","code"
"1900 03 03",52,11,"sulphite and paper mill workers; john donovan, los angeles central labor council, and john f.",15,"s10476",FALSE,"random",0
"1900 03 03",84,1,"well, now the fight is on, and not only will jessie jackson bring some ex-citement to the primary process, he has the ability to register and bring to the polls, regardless who the candidate is, millions of new voters.",40,"s12404",FALSE,"random",0
"1900 03 03",28,51,"the injunction is used to make the union illegal and to outlaw its activity by judicial decree —to penalize through equity procedure acts and agencies that are legal according to law as enacted by our law-making bodies.",38,"s6791",TRUE,"keyword",0
"1900 03 03",28,51,"the injunction is used to make the union illegal and to outlaw its activity by judicial decree —to penalize through equity procedure acts and agencies that are legal according to law as enacted by our law-making bodies.",38,"s6791",TRUE,"keyword",0
"1900 05 05",33,34,"hearings in accordance with the provisions of the act authorizing its establishment, the commission has conducted public hearings in various sections of the state to give opportunity to all persons interested to present their views as to 'what action the state should take to meet the problems of unemployment.",49,"s8440",FALSE,"random",0
"1900 05 05",11,47,"anderson of santa cruz, cal., requesting material for debate upon the asiatic exclusion question; granted.",15,"s2587",TRUE,"keyword",0
"1900 05 05",11,47,"from home industry league, stating that a large quantity of chinese cement is being brought into california; referred to secretary.",20,"s2589",TRUE,"keyword",0
"1900 05 05",33,34,"“a national opportunity to improve living conditions and to ameliorate the plight of cities which built up haphazardly during an era of ‘rugged individualism’ will be missed if action is not taken before the coming winter,” mr.",37,"s8474",FALSE,"random",0
"1900 05 05",33,34,"it was further provided that work will be given to bona fide residents of wisconsin and emergency work will be staggered so as to provide jobs for as large a number as possible.",33,"s8486",FALSE,"random",0
"1900 05 05",18,3,"we found that there is a general system in vogue in the check room privileges of hotels and restaurants, and some of the persons holding these privileges operate in the larger cities throughout the united states.",36,"s4328",FALSE,"random",0
"1900 05 05",18,3,"the number of other ofllces to be opened depends, however, upon the amount of money approp dated for this purpose and any ac *.’”"" the legislature may take towards |he elimination of the private agencie..",34,"s4356",FALSE,"random",0
"1900 05 05",21,4,"what to do carpenters not receiving their check should immediately write to the fund office supplying their new address.",19,"s11974",FALSE,"random",0
"1900 05 05",21,30,"but (and this question may well be put to the learning of new england, to the thought of the south) will we add unto our strength by introducing into our country a people alien to our laws, our religion, our traditions, our ideals, our national conceptions —a people with no inclination, no capacity foi self-government.",56,"s4967",TRUE,"keyword",1
"1900 05 05",9,23,"customary reports will be tabled and only the “cardinal” and “salient” points, replete with roseate pleasure, will be presented.",19,"s2009",TRUE,"keyword",0
"1900 05 05",25,34,"one afternoon, as she was running down the brush-bordered lane which was the last of her route, the child saw what appeared to be a very strange animal with downbent head and terrifying horns.",35,"s5787",TRUE,"keyword",0
"1900 05 05",69,16,"reliance on the states to improve standards is a throwback to the eisenhower administration, observes james o’brien, an unemployment insurance specialist in the afl-cio dept, of social security.",30,"s11477",FALSE,"random",0
"1900 05 05",25,52,"it is charged that the reactionary element in that island resorted to coercion and other illegal means to rob the workers of their well-earned election victory.",27,"s6470",TRUE,"keyword",0
"1900 05 05",4,22,"the doctor can use a word a yard long without knowing what it means, but if the editor uses it he has to spell it.",25,"s973",FALSE,"random",0
"1900 05 05",1,39,"report was made that everything was in readiness for the first annual ball of the union, which will take place to-night, october 27th, at odd fellows’ hall.",28,"s343",FALSE,"random",0
"1900 05 05",3,22,"french, the energetic business agent of bridge & structural iron workers, no. 31, visited palo alto in the interests of his craft last thursday.",23,"s643",FALSE,"random",0
"1900 05 05",27,22,"labor-saving machinery may be installed, but employees are denied any share in this increased efficiency, while rigid living standards are based on government statistics.",25,"s6003",FALSE,"random",0
"1900 05 05",67,11,"arbitration board chairman, andrew fawver jack kessler dan sweeney william mulkeen, pres.compliments of western pipe & engineering co., inc.",19,"s11483",FALSE,"random",0
"1900 05 05",30,41,"“heaven help the sailors on a night like this” will take on a new meaning.—punch.",16,"s7690",FALSE,"random",0
"1900 05 12",22,6,"we lost brother john aleximas to the ‘grim reaper’ this past month in the state of florida, where he has been retired for the past 12 years.",27,"s12193",FALSE,"random",0
"1900 05 12",11,47,"the board of the asiatic exclusion league met at its headquarters, 815 metropolis bank building, and in the absence of the president and vice-president was called to order by delegate knight at 8 p. in., saturday.",37,"s2590",TRUE,"keyword",0
"1900 05 12",27,49,"migration and immigration.—numbers of native agricultural workers are said to have decreased progressively in the past decade, due to a general movement on the part of these classes toward cities and towns to engage in better-paid industrial occupations.",40,"s7299",TRUE,"keyword",0
"1900 05 12",29,9,"these men are telling our senators and representatives in washington that there is a scarcity of labor here and that the mexicans are needed to do the necessary work in san francisco and california.",34,"s6824",TRUE,"keyword",1
"1900 05 12",21,30,"we want no antagonistic races; we want no hostile classes; we want no castes; we want no serfs; we want no beasts of burden; we want no anarchists; we want no aliens incapable of republican government; we want no pagans burning incense to confucius.",44,"s4992",TRUE,"keyword",1
"1900 05 12",21,30,"but, you men of the south, do you welcome, or will you permit, the invasion?",15,"s4977",TRUE,"keyword",1
"1900 05 12",21,30,"but, you men of the south, do you welcome, or will you permit, the invasion?",15,"s4977",TRUE,"keyword",1
"1900 05 12",30,47,"secretary mellon, in announcing his plan, said it would be economy for the government to push the work to completion.",20,"s7780",FALSE,"random",0
"1900 05 12",1,14,"as an example, we have seen the organizedeffort of the cloak and suit manufacturers to disrupt the cloakmakers’ union, in order that they might hire japanese labor.",27,"s16",TRUE,"keyword",1
"1900 05 12",30,47,"if the house carpenters succeed in establishing among themselves the eight hour system, and i hope and believe they will, it will be but a few weeks until eight hours will be as regularly a day’s work as ten hours have been heretofore.",44,"s7826",FALSE,"random",0
"1900 05 12",1,14,"for some time past the numbers of japanese entering this city and state have shown a rapidly increasing ratio to other immigrants, until they have now become an actual factor of competition in every pursuit, manual labor, mechanics, arts and sciences.",41,"s27",TRUE,"keyword",1
"1900 05 12",72,9,"affiliates wishing to order the film should specify both a preferred showing date and an alternative date and agree to return the film to the federation’s san francisco office within 24 hours after showing it.",36,"s11731",TRUE,"keyword",0
"1900 05 12",9,23,"customary reports will be tabled and only the “cardinal” and “salient” points, replete with roseate pleasure, will be presented.",19,"s2009",TRUE,"keyword",0
"1900 05 12",1,14,"to do this, sufficient pressure must be brought to bear on congress to force the enactment of such exclusion laws as will exclude.",23,"s08",TRUE,"keyword",1
"1900 05 12",9,23,"there the finger was placed squarely upon the point of the whole problem of centralization and states rights.",18,"s2037",FALSE,"random",0
"1900 05 12",1,14,"the working people realize their situation today as they have never done before, and they are not only ready to relegate to the political backyard any lawmaker who neglects his duty or is found to oppose any legislation which the people and the best interests of the country demand, but labor is also ready to start a vigorous crusade against mongolian-made goods and all employers of asiatic labor.",69,"s10",TRUE,"keyword",1
"1900 05 12",40,25,"also, with certain modifications, the treatment may be used effectively on slender people.don’t ignore the women’s vote, says mrs.",22,"s9149",FALSE,"random",0
"1900 05 12",1,14,"the san francisco labor council and the building trades council have entered in full earnest to combat the asiatic curse, recognizing that unless the gates of our country are closed against the invading hordes of chinese and japanese the pacific coast states will, in less than one generation, be flooded by asiatics and enslaved by farm and factory lords.",59,"s11",TRUE,"keyword",1
"1900 05 12",74,9,"in addition it extends federal wage and overtime requirementswage controls endmoscone bill bars illegal evidence in u.l.",18,"s11794",TRUE,"keyword",0
"1900 05 12",74,9,"senator moscone noted that since a november, 1968, decision (president benefit decision number 57) by the state unemployment appeals board, illegally seized evidence has been admissable in all stages of unemployment appeal hearings.",33,"s11796",TRUE,"keyword",0
"1900 05 12",74,9,"“while normal rules of criminal procedure do not apply in unemployment hearings,” moscone said, “we ought to outlaw the use of illegally seized evidénce in any governmental proceedings.",28,"s11797",TRUE,"keyword",0
"1900 05 12",25,21,"given this opportunity, the law-abiding citizens of san jose, by r hfg reuijority vote, repudiated the illegal, socalled “american plan,” and cast their ballots for the labor candidate, who stands for real americanism.",34,"s5746",TRUE,"keyword",1
